date,store_id,product_id,product_name,inventory_level,units_sold,price,seasonality
2022-01-01,S001,P0006,Pulses,138,58,76.83,Winter
2022-01-01,S001,P0011,Detergent,258,112,58.53,Winter
2022-01-01,S001,P0009,Biscuits,183,177,20.74,Winter
2022-01-01,S001,P0017,Noodles,318,188,21.07,Winter
2022-01-01,S001,P0015,Candles,379,122,92.99,Winter
2022-01-01,S001,P0014,Matches,193,177,78.11,Winter
2022-01-01,S001,P0007,Tea,359,178,34.16,Winter
2022-01-01,S001,P0012,Soap,66,172,58.25,Winter
2022-01-01,S001,P0018,Honey,241,59,19.57,Winter
2022-01-01,S001,P0016,Spices,363,72,21.9,Winter
2022-01-01,S001,P0019,Jam,352,153,73.28,Winter
2022-01-01,S001,P0005,Wheat Flour,166,120,73.64,Winter
2022-01-01,S001,P0002,Salt,204,74,63.01,Winter
2022-01-01,S001,P0004,Sugar,469,75,32.72,Winter
2022-01-01,S001,P0013,Toothpaste,96,160,43.6,Winter
2022-01-01,S001,P0010,Milk Powder,108,145,59.99,Winter
2022-01-01,S001,P0008,Coffee,380,113,97.99,Winter
2022-01-01,S001,P0001,Oil,231,163,33.5,Winter
2022-01-01,S001,P0020,Pickle,274,100,30.24,Winter
2022-01-01,S001,P0003,Rice,102,141,27.99,Winter
2022-01-02,S001,P0001,Oil,116,159,27.95,Winter
2022-01-02,S001,P0013,Toothpaste,455,155,35.51,Winter
2022-01-02,S001,P0015,Candles,246,120,28.06,Winter
2022-01-02,S001,P0007,Tea,178,180,17.1,Winter
2022-01-02,S001,P0004,Sugar,248,76,49.56,Winter
2022-01-02,S001,P0018,Honey,478,63,74.42,Winter
2022-01-02,S001,P0014,Matches,84,177,31.41,Winter
2022-01-02,S001,P0010,Milk Powder,171,139,11.44,Winter
2022-01-02,S001,P0006,Pulses,471,57,47.56,Winter
2022-01-02,S001,P0020,Pickle,221,99,97.88,Winter
2022-01-02,S001,P0002,Salt,416,76,19.78,Winter
2022-01-02,S001,P0019,Jam,156,158,91.95,Winter
2022-01-02,S001,P0005,Wheat Flour,238,124,23.76,Winter
2022-01-02,S001,P0016,Spices,399,72,35.67,Winter
2022-01-02,S001,P0009,Biscuits,99,178,99.76,Winter
2022-01-02,S001,P0011,Detergent,215,118,53.84,Winter
2022-01-02,S001,P0012,Soap,281,175,57.84,Winter
2022-01-02,S001,P0003,Rice,488,143,70.99,Winter
2022-01-02,S001,P0008,Coffee,92,111,58.89,Winter
2022-01-02,S001,P0017,Noodles,242,188,28.18,Winter
2022-01-03,S001,P0003,Rice,183,147,26.03,Winter
2022-01-03,S001,P0002,Salt,282,76,54.02,Winter
2022-01-03,S001,P0016,Spices,148,69,93.61,Winter
2022-01-03,S001,P0013,Toothpaste,194,150,83.11,Winter
2022-01-03,S001,P0009,Biscuits,407,182,61.42,Winter
2022-01-03,S001,P0018,Honey,97,63,78.53,Winter
2022-01-03,S001,P0015,Candles,330,121,52.17,Winter
2022-01-03,S001,P0014,Matches,302,181,32.28,Winter
2022-01-03,S001,P0005,Wheat Flour,368,127,95.54,Winter
2022-01-03,S001,P0010,Milk Powder,51,138,99.14,Winter
2022-01-03,S001,P0007,Tea,460,175,87.85,Winter
2022-01-03,S001,P0017,Noodles,315,189,98.25,Winter
2022-01-03,S001,P0004,Sugar,239,70,10.19,Winter
2022-01-03,S001,P0012,Soap,72,168,86.93,Winter
2022-01-03,S001,P0006,Pulses,57,64,57.65,Winter
2022-01-03,S001,P0019,Jam,240,155,56.91,Winter
2022-01-03,S001,P0008,Coffee,214,114,53.94,Winter
2022-01-03,S001,P0011,Detergent,252,118,60.52,Winter
2022-01-03,S001,P0001,Oil,154,162,62.7,Winter
2022-01-03,S001,P0020,Pickle,178,103,35.32,Winter
2022-01-04,S001,P0010,Milk Powder,494,139,94.98,Winter
2022-01-04,S001,P0002,Salt,91,77,88.22,Winter
2022-01-04,S001,P0019,Jam,127,158,63.29,Winter
2022-01-04,S001,P0013,Toothpaste,94,144,34.68,Winter
2022-01-04,S001,P0005,Wheat Flour,470,128,69.65,Winter
2022-01-04,S001,P0020,Pickle,153,105,10.93,Winter
2022-01-04,S001,P0012,Soap,150,167,66.07,Winter
2022-01-04,S001,P0014,Matches,77,180,98.28,Winter
2022-01-04,S001,P0007,Tea,367,181,33.47,Winter
2022-01-04,S001,P0016,Spices,168,67,93.4,Winter
2022-01-04,S001,P0004,Sugar,209,70,44.81,Winter
2022-01-04,S001,P0015,Candles,430,126,87.24,Winter
2022-01-04,S001,P0009,Biscuits,403,186,45.25,Winter
2022-01-04,S001,P0011,Detergent,421,119,24.21,Winter
2022-01-04,S001,P0008,Coffee,404,115,61.1,Winter
2022-01-04,S001,P0003,Rice,184,147,10.55,Winter
2022-01-04,S001,P0006,Pulses,127,61,53.35,Winter
2022-01-04,S001,P0018,Honey,380,60,58.54,Winter
2022-01-04,S001,P0017,Noodles,353,189,53.02,Winter
2022-01-04,S001,P0001,Oil,85,166,77.88,Winter
2022-01-05,S001,P0001,Oil,238,160,28.46,Winter
2022-01-05,S001,P0019,Jam,492,157,49.8,Winter
2022-01-05,S001,P0003,Rice,216,143,80.57,Winter
2022-01-05,S001,P0005,Wheat Flour,405,124,46.13,Winter
2022-01-05,S001,P0020,Pickle,355,103,33.3,Winter
2022-01-05,S001,P0016,Spices,189,74,30.15,Winter
2022-01-05,S001,P0013,Toothpaste,370,148,83.3,Winter
2022-01-05,S001,P0008,Coffee,102,110,59.2,Winter
2022-01-05,S001,P0002,Salt,270,78,79.54,Winter
